LV1,SGD,PL1,1/1/2013,1/1/2043,"$1,000,000.00 ","$5,460.26 ",5.15%,1.25%
LV1,USD,PL2,1/2/2013,1/2/2043,"$2,000,000.00 ","$10,932.85 ",5.16%,1.26%
LV1,EUR,PL3,1/3/2013,1/3/2043,"$3,000,000.00 ","$16,417.77 ",5.17%,1.27%
LV1,GBP,PL4,1/4/2013,1/4/2043,"$4,000,000.00 ","$21,915.04 ",5.18%,1.28%
LV1,SGD,PL5,1/5/2013,1/5/2043,"$5,000,000.00 ","$27,424.66 ",5.19%,1.29%
LV1,USD,PL6,1/6/2013,1/6/2043,"$6,000,000.00 ","$32,946.65 ",5.20%,1.30%
LV1,EUR,PL7,1/7/2013,1/7/2043,"$7,000,000.00 ","$38,481.02 ",5.21%,1.31%
LV1,GBP,PL8,1/8/2013,1/8/2043,"$8,000,000.00 ","$44,027.76 ",5.22%,1.32%
LV1,SGD,PL9,1/9/2013,1/9/2043,"$9,000,000.00 ","$49,586.90 ",5.23%,1.33%
LV1,USD,PL10,1/10/2013,1/10/2043,"$10,000,000.00 ","$55,158.45 ",5.24%,1.34%
LV1,EUR,PL11,1/11/2013,1/11/2043,"$11,000,000.00 ","$60,742.41 ",5.25%,1.35%
LV1,GBP,PL12,1/12/2013,1/12/2043,"$12,000,000.00 ","$66,338.79 ",5.26%,1.36%
LV1,SGD,PL13,1/13/2013,1/13/2043,"$13,000,000.00 ","$71,947.60 ",5.27%,1.37%
LV1,USD,PL14,1/14/2013,1/14/2043,"$14,000,000.00 ","$77,568.86 ",5.28%,1.38%
LV1,EUR,PL15,1/15/2013,1/15/2043,"$15,000,000.00 ","$83,202.57 ",5.29%,1.39%
LV1,GBP,PL16,1/16/2013,1/16/2043,"$16,000,000.00 ","$88,848.74 ",5.30%,1.40%
LV1,SGD,PL17,1/17/2013,1/17/2043,"$17,000,000.00 ","$94,507.39 ",5.31%,1.41%
LV1,USD,PL18,1/18/2013,1/18/2043,"$18,000,000.00 ","$100,178.51 ",5.32%,1.42%
LV1,EUR,PL19,1/19/2013,1/19/2043,"$19,000,000.00 ","$105,862.13 ",5.33%,1.43%
LV1,GBP,PL20,1/20/2013,1/20/2043,"$20,000,000.00 ","$111,558.25 ",5.34%,1.44%
LV2,SGD,PL1,1/1/2013,1/1/2043,"$1,000,000.00 ","$5,460.26 ",5.15%,1.25%
LV2,USD,PL2,1/2/2013,1/2/2043,"$2,000,000.00 ","$10,932.85 ",5.16%,1.26%
LV2,EUR,PL3,1/3/2013,1/3/2043,"$3,000,000.00 ","$16,417.77 ",5.17%,1.27%
LV2,GBP,PL4,1/4/2013,1/4/2043,"$4,000,000.00 ","$21,915.04 ",5.18%,1.28%
LV2,SGD,PL5,1/5/2013,1/5/2043,"$5,000,000.00 ","$27,424.66 ",5.19%,1.29%
LV2,USD,PL6,1/6/2013,1/6/2043,"$6,000,000.00 ","$32,946.65 ",5.20%,1.30%
LV2,EUR,PL7,1/7/2013,1/7/2043,"$7,000,000.00 ","$38,481.02 ",5.21%,1.31%
LV2,GBP,PL8,1/8/2013,1/8/2043,"$8,000,000.00 ","$44,027.76 ",5.22%,1.32%
LV2,SGD,PL9,1/9/2013,1/9/2043,"$9,000,000.00 ","$49,586.90 ",5.23%,1.33%
LV2,USD,PL10,1/10/2013,1/10/2043,"$10,000,000.00 ","$55,158.45 ",5.24%,1.34%
LV2,EUR,PL11,1/11/2013,1/11/2043,"$11,000,000.00 ","$60,742.41 ",5.25%,1.35%
LV2,GBP,PL12,1/12/2013,1/12/2043,"$12,000,000.00 ","$66,338.79 ",5.26%,1.36%
LV2,SGD,PL13,1/13/2013,1/13/2043,"$13,000,000.00 ","$71,947.60 ",5.27%,1.37%
LV2,USD,PL14,1/14/2013,1/14/2043,"$14,000,000.00 ","$77,568.86 ",5.28%,1.38%
LV2,EUR,PL15,1/15/2013,1/15/2043,"$15,000,000.00 ","$83,202.57 ",5.29%,1.39%
LV2,GBP,PL16,1/16/2013,1/16/2043,"$16,000,000.00 ","$88,848.74 ",5.30%,1.40%
LV2,SGD,PL17,1/17/2013,1/17/2043,"$17,000,000.00 ","$94,507.39 ",5.31%,1.41%
LV2,USD,PL18,1/18/2013,1/18/2043,"$18,000,000.00 ","$100,178.51 ",5.32%,1.42%
LV2,EUR,PL19,1/19/2013,1/19/2043,"$19,000,000.00 ","$105,862.13 ",5.33%,1.43%
LV2,GBP,PL20,1/20/2013,1/20/2043,"$20,000,000.00 ","$111,558.25 ",5.34%,1.44%
LV3,SGD,PL1,1/1/2013,1/1/2043,"$1,000,000.00 ","$5,460.26 ",5.15%,1.25%
LV3,USD,PL2,1/2/2013,1/2/2043,"$2,000,000.00 ","$10,932.85 ",5.16%,1.26%
LV3,EUR,PL3,1/3/2013,1/3/2043,"$3,000,000.00 ","$16,417.77 ",5.17%,1.27%
LV3,GBP,PL4,1/4/2013,1/4/2043,"$4,000,000.00 ","$21,915.04 ",5.18%,1.28%
LV3,SGD,PL5,1/5/2013,1/5/2043,"$5,000,000.00 ","$27,424.66 ",5.19%,1.29%
LV3,USD,PL6,1/6/2013,1/6/2043,"$6,000,000.00 ","$32,946.65 ",5.20%,1.30%
LV3,EUR,PL7,1/7/2013,1/7/2043,"$7,000,000.00 ","$38,481.02 ",5.21%,1.31%
LV3,GBP,PL8,1/8/2013,1/8/2043,"$8,000,000.00 ","$44,027.76 ",5.22%,1.32%
LV3,SGD,PL9,1/9/2013,1/9/2043,"$9,000,000.00 ","$49,586.90 ",5.23%,1.33%
LV3,USD,PL10,1/10/2013,1/10/2043,"$10,000,000.00 ","$55,158.45 ",5.24%,1.34%
LV3,EUR,PL11,1/11/2013,1/11/2043,"$11,000,000.00 ","$60,742.41 ",5.25%,1.35%
LV3,GBP,PL12,1/12/2013,1/12/2043,"$12,000,000.00 ","$66,338.79 ",5.26%,1.36%
LV3,SGD,PL13,1/13/2013,1/13/2043,"$13,000,000.00 ","$71,947.60 ",5.27%,1.37%
LV3,USD,PL14,1/14/2013,1/14/2043,"$14,000,000.00 ","$77,568.86 ",5.28%,1.38%
LV3,EUR,PL15,1/15/2013,1/15/2043,"$15,000,000.00 ","$83,202.57 ",5.29%,1.39%
LV3,GBP,PL16,1/16/2013,1/16/2043,"$16,000,000.00 ","$88,848.74 ",5.30%,1.40%
LV3,SGD,PL17,1/17/2013,1/17/2043,"$17,000,000.00 ","$94,507.39 ",5.31%,1.41%
LV3,USD,PL18,1/18/2013,1/18/2043,"$18,000,000.00 ","$100,178.51 ",5.32%,1.42%
LV3,EUR,PL19,1/19/2013,1/19/2043,"$19,000,000.00 ","$105,862.13 ",5.33%,1.43%
LV3,GBP,PL20,1/20/2013,1/20/2043,"$20,000,000.00 ","$111,558.25 ",5.34%,1.44%
LV4,SGD,PL1,1/1/2013,1/1/2043,"$1,000,000.00 ","$5,460.26 ",5.15%,1.25%
LV4,USD,PL2,1/2/2013,1/2/2043,"$2,000,000.00 ","$10,932.85 ",5.16%,1.26%
LV4,EUR,PL3,1/3/2013,1/3/2043,"$3,000,000.00 ","$16,417.77 ",5.17%,1.27%
LV4,GBP,PL4,1/4/2013,1/4/2043,"$4,000,000.00 ","$21,915.04 ",5.18%,1.28%
LV4,SGD,PL5,1/5/2013,1/5/2043,"$5,000,000.00 ","$27,424.66 ",5.19%,1.29%
LV4,USD,PL6,1/6/2013,1/6/2043,"$6,000,000.00 ","$32,946.65 ",5.20%,1.30%
LV4,EUR,PL7,1/7/2013,1/7/2043,"$7,000,000.00 ","$38,481.02 ",5.21%,1.31%
LV4,GBP,PL8,1/8/2013,1/8/2043,"$8,000,000.00 ","$44,027.76 ",5.22%,1.32%
LV4,SGD,PL9,1/9/2013,1/9/2043,"$9,000,000.00 ","$49,586.90 ",5.23%,1.33%
LV4,USD,PL10,1/10/2013,1/10/2043,"$10,000,000.00 ","$55,158.45 ",5.24%,1.34%
LV4,EUR,PL11,1/11/2013,1/11/2043,"$11,000,000.00 ","$60,742.41 ",5.25%,1.35%
LV4,GBP,PL12,1/12/2013,1/12/2043,"$12,000,000.00 ","$66,338.79 ",5.26%,1.36%
LV4,SGD,PL13,1/13/2013,1/13/2043,"$13,000,000.00 ","$71,947.60 ",5.27%,1.37%
LV4,USD,PL14,1/14/2013,1/14/2043,"$14,000,000.00 ","$77,568.86 ",5.28%,1.38%
LV4,EUR,PL15,1/15/2013,1/15/2043,"$15,000,000.00 ","$83,202.57 ",5.29%,1.39%
LV4,GBP,PL16,1/16/2013,1/16/2043,"$16,000,000.00 ","$88,848.74 ",5.30%,1.40%
LV4,SGD,PL17,1/17/2013,1/17/2043,"$17,000,000.00 ","$94,507.39 ",5.31%,1.41%
LV4,USD,PL18,1/18/2013,1/18/2043,"$18,000,000.00 ","$100,178.51 ",5.32%,1.42%
LV4,EUR,PL19,1/19/2013,1/19/2043,"$19,000,000.00 ","$105,862.13 ",5.33%,1.43%
LV4,GBP,PL20,1/20/2013,1/20/2043,"$20,000,000.00 ","$111,558.25 ",5.34%,1.44%
LV5,SGD,PL1,1/1/2013,1/1/2043,"$1,000,000.00 ","$5,460.26 ",5.15%,1.25%
LV5,USD,PL2,1/2/2013,1/2/2043,"$2,000,000.00 ","$10,932.85 ",5.16%,1.26%
LV5,EUR,PL3,1/3/2013,1/3/2043,"$3,000,000.00 ","$16,417.77 ",5.17%,1.27%
LV5,GBP,PL4,1/4/2013,1/4/2043,"$4,000,000.00 ","$21,915.04 ",5.18%,1.28%
LV5,SGD,PL5,1/5/2013,1/5/2043,"$5,000,000.00 ","$27,424.66 ",5.19%,1.29%
LV5,USD,PL6,1/6/2013,1/6/2043,"$6,000,000.00 ","$32,946.65 ",5.20%,1.30%
LV5,EUR,PL7,1/7/2013,1/7/2043,"$7,000,000.00 ","$38,481.02 ",5.21%,1.31%
LV5,GBP,PL8,1/8/2013,1/8/2043,"$8,000,000.00 ","$44,027.76 ",5.22%,1.32%
LV5,SGD,PL9,1/9/2013,1/9/2043,"$9,000,000.00 ","$49,586.90 ",5.23%,1.33%
LV5,USD,PL10,1/10/2013,1/10/2043,"$10,000,000.00 ","$55,158.45 ",5.24%,1.34%
LV5,EUR,PL11,1/11/2013,1/11/2043,"$11,000,000.00 ","$60,742.41 ",5.25%,1.35%
LV5,GBP,PL12,1/12/2013,1/12/2043,"$12,000,000.00 ","$66,338.79 ",5.26%,1.36%
LV5,SGD,PL13,1/13/2013,1/13/2043,"$13,000,000.00 ","$71,947.60 ",5.27%,1.37%
LV5,USD,PL14,1/14/2013,1/14/2043,"$14,000,000.00 ","$77,568.86 ",5.28%,1.38%
LV5,EUR,PL15,1/15/2013,1/15/2043,"$15,000,000.00 ","$83,202.57 ",5.29%,1.39%
LV5,GBP,PL16,1/16/2013,1/16/2043,"$16,000,000.00 ","$88,848.74 ",5.30%,1.40%
LV5,SGD,PL17,1/17/2013,1/17/2043,"$17,000,000.00 ","$94,507.39 ",5.31%,1.41%
LV5,USD,PL18,1/18/2013,1/18/2043,"$18,000,000.00 ","$100,178.51 ",5.32%,1.42%
LV5,EUR,PL19,1/19/2013,1/19/2043,"$19,000,000.00 ","$105,862.13 ",5.33%,1.43%
LV5,GBP,PL20,1/20/2013,1/20/2043,"$20,000,000.00 ","$111,558.25 ",5.34%,1.44%
